term,justice,justiceName,code,post_mn,post_sd,post_med,post_025,post_975
1955,89,Minton,MINT,0.927,0.254,0.915,0.457,1.454
1939,82,Murphy,MUR,-1.592,0.356,-1.585,-2.307,-0.927
1940,82,Murphy,MUR,-1.548,0.295,-1.54,-2.158,-1.002
1941,82,Murphy,MUR,-1.5,0.265,-1.49,-2.033,-1.008
1942,82,Murphy,MUR,-1.643,0.261,-1.637,-2.175,-1.154
1943,82,Murphy,MUR,-1.733,0.257,-1.726,-2.255,-1.25
1944,82,Murphy,MUR,-1.456,0.249,-1.448,-1.961,-0.987
1945,82,Murphy,MUR,-1.354,0.275,-1.344,-1.925,-0.839
1946,82,Murphy,MUR,-1.773,0.262,-1.763,-2.305,-1.277
1947,82,Murphy,MUR,-1.711,0.274,-1.703,-2.264,-1.193
1948,82,Murphy,MUR,-1.601,0.312,-1.585,-2.256,-1.029
1981,104,O'Connor,OCON,1.502,0.262,1.493,1.024,2.042
1982,104,O'Connor,OCON,1.651,0.247,1.644,1.183,2.141
1983,104,O'Connor,OCON,1.59,0.242,1.583,1.139,2.097
